estacion,cod_pluvio,fecha,mm
solis,2875A,12/07/2022,0.0
solis,2875A,12/08/2022,0.0
solis,2875A,12/09/2022,2.0
solis,2875A,12/10/2022,0.0
solis,2875A,12/11/2022,19.0
solis,2875A,12/12/2022,3.0
solis,2875A,12/13/2022,0.0
solis,2875A,12/14/2022,0.0
solis,2875A,12/15/2022,3.0
solis,2875A,12/16/2022,0.0
solis,2875A,12/17/2022,0.0
solis,2875A,12/18/2022,0.0
solis,2875A,12/19/2022,0.0
solis,2875A,12/20/2022,0.0
solis,2875A,12/21/2022,0.0
solis,2875A,12/22/2022,0.0
solis,2875A,12/23/2022,0.0
solis,2875A,12/24/2022,2.0
solis,2875A,12/25/2022,0.0
solis,2875A,12/26/2022,0.0
solis,2875A,12/27/2022,0.0
solis,2875A,12/28/2022,0.0
solis,2875A,12/29/2022,0.0
solis,2875A,12/30/2022,0.0
solis,2875A,12/31/2022,0.0
solis,2875A,01/01/2023,14.0
solis,2875A,01/02/2023,2.0
solis,2875A,01/03/2023,0.0
solis,2875A,01/04/2023,0.0
solis,2875A,01/05/2023,0.0
solis,2875A,01/06/2023,0.0
solis,2875A,01/07/2023,0.0
solis,2875A,01/08/2023,0.0
solis,2875A,01/09/2023,0.0
solis,2875A,01/10/2023,0.0
